,roles
95,"SOFTWARE DEVELOPMENT ENGINEER III, IN TEST"
96,SOFTWARE DEVELOPMENT ENGINEER - AWS KEY MANAGEMENT SERVICE
97,"SR. SOFTWARE DEVELOPMENT ENGINEER, ROBOTICS"
98,SOFTWARE DEVELOPER ENGINEER II
99,SENIOR NETWORK PROGRAMMER - AMAZON GAME STUDIOS
100,WEB DEVELOPMENT ENGINEER II - AMZ2363
101,"SOFTWARE DEVELOPMENT MANAGER, INTERNATIONAL EXPANSION"
102,SOFTWARE DEVELOPMENT ENGINEER III - AMZ2527
103,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2366
104,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2311
105,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2250
106,"FULL STACK ENGINEER, SEARCH ANALYTICS TOOLS"
107,SOFTWARE DEVELOPMENT ENGINEER INTERN - CLOUDTUNE TEAM
108,SOFTWARE DEVELOPER ENGINEER - CLOUDTUNE FRAM TEAM
109,"SENIOR SOFTWARE DEVELOPMENT MANAGER, AWS"
110,SOFTWARE DEVELOPMENT ENGINEER ||
111,KNOWLEDGE ENGINEER
112,SOFTWARE DEVELOPMENT ENGINEER - AMAZON ALEXA
113,SOFTWARE DEVELOPMENT ENGINEER - CLOUD SERVICES
114,SR. DATA SCIENTIST - TREASURE TRUCK
115,SOFTWARE DEVELOPMENT ENGINEER II - IOS
116,"MANAGER, SOFTWARE DEVELOPMENT"
117,"SDE II, AWS PINPOINT"
118,"SENIOR SOFTWARE DEVELOPMENT ENGINEER-ROBOTICS MANAGEMENT, FRAMEWORK, AND SERVICES"
119,SOFTWARE DEVELOPMENT ENGINEER II - AWS MOBILE SDK
120,"WEB DEVELOPMENT ENGINEER, AWS LEARNING PLATFORM"
121,SOFTWARE DEVELOPMENT ENGINEER II - ANDROID
122,SENIOR SOFTWARE DEVELOPMENT ENGINEER RECRUITING EVENT IN CALGARY WITH RELOCATION TO SEATTLE
123,SOFTWARE DEVELOPMENT ENGINEER RECRUITING EVENT IN CALGARY WITH RELOCATION TO SEATTLE
124,GAME SERVICES ENGINEER
125,SENIOR SOFTWARE DEVELOPMENT ENGINEER
126,ROBOTICS ENGINEER INTERN
127,SOFTWARE DEVELOPMENT ENGINEER - II
128,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2360
129,"SOFTWARE DEVELOPMENT ENGINEER, BUILDER TOOLS"
